Loss_Di,Loss_Dv,Loss_Gi,Loss_Gv,Di_real_mean,Di_fake_mean,Dv_real_mean,Dv_fake_mean
1.1755,1.1950,4.7433,1.9978,0.5609,0.2724,0.3731,0.1397
0.4240,0.4372,5.4022,2.8329,0.8136,0.0398,0.8636,0.0666
0.4517,0.7830,3.6533,4.3811,0.7422,0.0297,0.8661,0.3264
0.5803,0.5666,5.4808,5.0569,0.8466,0.1743,0.6902,0.0896
0.5831,0.5118,4.9182,2.5353,0.7641,0.0402,0.6772,0.0082
1.7528,1.2012,0.9067,4.3729,0.2595,0.0521,0.6848,0.4222
0.7503,0.6245,4.2073,5.7432,0.7571,0.1822,0.7070,0.1265
2.3645,0.6675,7.3621,2.4637,0.9377,0.7026,0.6221,0.0229
0.4159,0.4628,5.6901,2.7999,0.7717,0.0050,0.8723,0.0785
0.7590,0.8103,2.5512,6.2430,0.5547,0.0159,0.9728,0.3292
0.8186,0.6534,7.5140,5.1392,0.8477,0.3181,0.6237,0.0097
0.5094,1.0916,7.0736,2.5155,0.6493,0.0010,0.4389,0.0037
0.3939,0.8108,6.9458,3.5793,0.8435,0.0005,0.9447,0.3123
0.3865,0.4243,3.7341,4.5791,0.8129,0.0123,0.9671,0.0360
0.3396,0.3719,4.9533,5.6823,0.9199,0.0047,0.9496,0.0161
0.6955,0.4486,5.3218,3.8562,0.9020,0.2965,0.8328,0.0359
0.7568,0.7231,4.3738,3.4828,0.5338,0.0067,0.6514,0.1044
0.8269,0.5229,1.7747,4.8195,0.4348,0.0129,0.9082,0.1654
0.7438,0.5736,2.6556,4.4108,0.8115,0.1273,0.6631,0.0296
1.5553,0.6976,7.4093,7.3462,0.9683,0.5179,0.9288,0.2284
0.4373,0.3373,7.0668,7.7224,0.7948,0.0096,0.8997,0.0022
0.4478,0.5641,7.0665,5.4743,0.7124,0.0005,0.6718,0.0013
0.5320,0.3866,5.0885,3.8233,0.7818,0.0048,0.8562,0.0053
0.5170,0.7690,3.2095,6.3266,0.7620,0.0474,0.9797,0.2780
0.4069,0.3964,4.5699,8.3345,0.9356,0.0428,0.8435,0.0008
1.1380,0.8018,4.9418,2.1555,0.7171,0.4308,0.4802,0.0174
0.5510,0.4358,6.4891,2.9067,0.6430,0.0013,0.9260,0.0643
0.7612,1.2131,4.0988,6.7662,0.6836,0.1394,0.9341,0.5205
0.5663,1.4369,6.7095,4.5448,0.9727,0.1303,0.2413,0.0013
0.6966,0.5559,3.8549,2.8026,0.5946,0.0120,0.7627,0.0459
0.4272,0.5546,3.1907,3.7072,0.8637,0.0611,0.9457,0.1304
0.5415,0.5631,4.0041,3.3095,0.9880,0.0812,0.9162,0.1608
0.5594,0.4341,3.9404,4.0785,0.7495,0.0194,0.7716,0.0284
0.7233,0.5678,4.1050,3.2882,0.7911,0.1896,0.7010,0.0638
0.7528,1.8798,5.3522,2.8243,0.8824,0.2393,0.9217,0.6114
0.4659,0.7057,5.8650,2.8035,0.7665,0.0041,0.5355,0.0455
0.3871,0.3718,5.1459,3.7399,0.8728,0.0092,0.9201,0.0266
0.3561,0.4946,4.4229,3.6289,0.8619,0.0222,0.8656,0.0988
0.4985,1.0264,3.8454,3.1499,0.8485,0.1291,0.7725,0.4617
1.5082,1.4981,1.5258,3.4689,0.2638,0.0103,0.2519,0.0023
1.8234,1.1463,4.7996,2.9551,0.9879,0.4903,0.9670,0.4427
0.4112,1.3883,4.9324,7.5721,0.9602,0.0423,0.9479,0.5985
0.3742,0.5291,5.7966,7.3121,0.9400,0.0167,0.7063,0.0035
1.1841,1.7274,3.0001,2.9508,0.4388,0.1602,0.2569,0.0425
1.3289,2.6552,2.7095,1.8786,0.3457,0.1415,0.2371,0.2377
1.3941,0.5124,5.1572,3.8885,0.9874,0.5169,0.9882,0.0484
0.4136,2.2781,4.7689,3.0167,0.9403,0.0631,0.9999,0.7280
0.9177,1.0214,2.4422,3.4743,0.5190,0.0130,0.7418,0.3336
0.4201,0.7281,4.2504,3.5801,0.9342,0.0539,0.6426,0.0599
0.5859,0.5955,5.7486,2.9283,0.9460,0.2046,0.9786,0.1693
0.7046,0.6476,3.3269,2.5493,0.6202,0.1217,0.9142,0.2395
1.4325,0.6674,1.3407,3.1294,0.3340,0.0208,0.6476,0.0963
3.0234,0.5865,4.5891,2.3826,0.9963,0.8881,0.8616,0.1901
0.4518,2.0560,6.4639,3.5243,0.7740,0.0052,0.8929,0.7639
0.8444,0.8894,3.7728,2.8491,0.4264,0.0036,0.6536,0.0702
1.0645,0.8218,2.1632,1.9196,0.6587,0.4087,0.5653,0.1403
0.5355,0.9303,2.8930,4.2881,0.8002,0.1355,0.8241,0.3819
1.6165,1.8748,1.2513,1.0896,0.2273,0.0249,0.1739,0.1070
1.7516,1.6116,3.8387,4.7039,0.9863,0.7040,0.9038,0.5793
0.8581,0.5356,4.6430,2.8425,0.9674,0.3395,0.8123,0.1338
1.5487,1.1344,3.1735,3.3303,0.2112,0.0195,0.6007,0.3159
0.5669,0.6330,2.1835,2.9524,0.7372,0.0919,0.7134,0.0680
0.6517,0.5461,2.8403,3.4698,0.7334,0.1220,0.8433,0.1546
0.8247,1.5979,1.4530,0.9552,0.5315,0.1324,0.2443,0.1859
1.3763,2.4032,4.4404,3.1557,0.9743,0.4995,0.9905,0.7963
0.5766,0.5315,4.3540,4.2831,0.8455,0.0357,0.9648,0.1356
0.4816,1.5803,4.0964,2.7329,0.9660,0.1055,0.4239,0.5109
0.4053,1.8761,4.4636,2.9934,0.7743,0.0177,0.3403,0.2340
1.6639,0.6508,2.9525,1.9637,0.1754,0.0082,0.9115,0.2511
1.9583,0.9785,3.3864,4.4123,0.9700,0.6935,0.9138,0.4108
0.4267,1.0544,4.3508,2.5556,0.8387,0.0669,0.4093,0.0396
0.5436,1.2046,3.6700,4.9890,0.7010,0.0161,0.9452,0.5773
